Date,Open,High,Low,Close
09/17/2018,"99.30","99.30","99.30","99.35"
09/14/2018,"99.50","99.50","99.50","99.50"
09/13/2018,"100.40","100.40","100.40","100.40"
09/12/2018,"100.50","100.50","100.50","100.50"
09/11/2018,"100.95","100.95","100.95","100.95"
09/10/2018,"99.60","100.40","99.60","100.25"
09/07/2018,"101.00","101.00","100.90","99.75"
09/06/2018,"101.00","101.00","101.00","101.00"
09/05/2018,"100.40","101.00","100.40","101.45"
09/04/2018,"100.50","100.75","100.40","100.75"
09/03/2018,"98.60","99.40","98.60","99.30"
08/31/2018,"97.90","97.90","97.90","97.90"
08/30/2018,"97.90","97.90","97.90","97.90"
08/29/2018,"97.90","97.90","97.90","97.90"
08/28/2018,"97.60","97.60","97.60","97.60"
